SENSOR_TYPE,NIS,RMSE_px,RMSE_py,RMSE_vx,RMSE_vy
R,0.660303,0.135164,0.119182,1.01312,0.674003
L,0.181094,0.135011,0.119057,1.01148,0.673005
R,4.52505,0.134815,0.118944,1.00988,0.67203
L,1.03329,0.134599,0.118932,1.00831,0.671158
R,7.26451,0.1344,0.118942,1.0067,0.670343
L,1.10289,0.134187,0.118971,1.00512,0.669549
R,2.12695,0.133987,0.119071,1.00352,0.66882
L,0.583726,0.133809,0.119148,1.00193,0.668041
R,0.131225,0.133637,0.119313,1.00035,0.667325
L,1.58897,0.133492,0.119324,0.998777,0.666467
R,1.87143,0.133341,0.119375,0.997211,0.665649
L,7.70759,0.133139,0.119322,0.995657,0.664768
R,0.963792,0.132943,0.119299,0.994109,0.663904
L,0.203247,0.13275,0.119255,0.992568,0.663021
R,2.36087,0.132565,0.119275,0.991031,0.662215
L,0.971641,0.132393,0.119463,0.9895,0.661523
R,5.12374,0.132192,0.119651,0.987991,0.660806
L,0.103353,0.131993,0.119953,0.986489,0.660157
R,1.22656,0.131791,0.120379,0.985003,0.659589
L,0.527836,0.13159,0.120736,0.983522,0.658959
R,2.06274,0.131397,0.121099,0.982071,0.658316
L,4.14828,0.131198,0.121116,0.980606,0.657434
R,7.49607,0.131007,0.121129,0.979125,0.656565
L,1.56966,0.130824,0.121019,0.97765,0.655616
R,5.97414,0.130632,0.120862,0.976189,0.654642
L,0.183654,0.130439,0.120693,0.974737,0.653668
R,4.7666,0.130265,0.120532,0.973282,0.652702
L,1.35251,0.130074,0.120362,0.971837,0.65174
R,2.92696,0.129881,0.12021,0.970406,0.650799
L,7.41556,0.12975,0.120037,0.96897,0.64984
R,0.966074,0.129648,0.119863,0.967544,0.648881
L,0.95127,0.129616,0.119711,0.96613,0.647939
R,4.1304,0.129621,0.119539,0.964749,0.646989
L,3.81582,0.129514,0.119366,0.963349,0.646063
R,1.02575,0.129397,0.119192,0.961946,0.645132
L,1.18514,0.129298,0.11905,0.960549,0.644195
R,0.594621,0.129227,0.118905,0.959165,0.643261
L,5.02845,0.129091,0.118787,0.95778,0.642461
R,6.0943,0.128937,0.118646,0.956404,0.641616
L,6.10718,0.128888,0.118492,0.955029,0.640693
R,6.1568,0.128765,0.118354,0.953684,0.639776
L,3.60984,0.128589,0.118245,0.952373,0.638863
R,4.2503,0.128418,0.118093,0.951034,0.637958
L,2.64201,0.128236,0.117953,0.949702,0.637161
R,4.09722,0.128062,0.117828,0.9484,0.636388
L,0.00218939,0.127895,0.117726,0.947098,0.635643
R,2.86919,0.127718,0.117705,0.945769,0.63499
L,1.15369,0.127558,0.117682,0.944451,0.634332
R,0.611537,0.127411,0.117677,0.943145,0.633675
L,1.51685,0.127244,0.117601,0.941834,0.632932
R,2.77241,0.127067,0.117598,0.940524,0.632262
L,0.0500179,0.126891,0.117609,0.939222,0.631593
R,0.471116,0.126717,0.117635,0.937922,0.630921
L,0.74158,0.126543,0.117635,0.936633,0.630209
R,2.80786,0.126371,0.117654,0.935343,0.629501
L,8.28981,0.126226,0.117504,0.934062,0.628657
R,0.0815502,0.126089,0.117358,0.932788,0.627819
L,0.853477,0.125958,0.117287,0.931515,0.627041
R,5.47801,0.125827,0.117189,0.930249,0.626238
L,2.43269,0.125679,0.117031,0.928988,0.625388
R,2.19524,0.125514,0.11688,0.927732,0.624549
L,1.67918,0.125369,0.116771,0.926479,0.623745
R,4.67645,0.125204,0.116701,0.925268,0.622971
L,3.04279,0.125046,0.116602,0.924102,0.622172
R,4.73135,0.124889,0.116493,0.9229,0.621363
L,0.772397,0.124761,0.116394,0.921725,0.620559
R,2.5232,0.124638,0.11628,0.920534,0.619746
L,1.42155,0.1245,0.116132,0.919332,0.618922
R,0.304136,0.124364,0.115983,0.918132,0.618101
L,1.97354,0.124206,0.11583,0.916922,0.617285
R,1.53872,0.124043,0.115681,0.915712,0.616476
L,1.40263,0.12389,0.11553,0.914507,0.615664
R,1.03331,0.123756,0.115384,0.913317,0.614856
L,0.580814,0.123652,0.115246,0.912143,0.614052
R,3.76645,0.123552,0.115116,0.910986,0.613252
L,0.773714,0.123477,0.114966,0.909835,0.612455
R,4.23232,0.123387,0.114817,0.908685,0.611663
L,0.295499,0.123289,0.114669,0.907534,0.610875
R,2.45044,0.123156,0.114527,0.906362,0.610096
L,2.46327,0.123011,0.114394,0.905195,0.609311
R,5.48111,0.122869,0.114253,0.904031,0.608527
L,0.187539,0.122724,0.114106,0.902872,0.607748
R,0.725494,0.122578,0.11396,0.901718,0.606974
